W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
iterations: 10000000
learning_rate: 1e-07
user_data_representation: average
scale_factor_output: 1.2
batch_size: 64
allow_negative_data: True
use_permutations: True
movie_amount_limit: 0
labels_data_type: decimal
limit_permutations: 64
loss: Tensor("Add_6:0", shape=(), dtype=float32)
optimizer: <tensorflow.python.training.adam.AdamOptimizer object at 0x7f6e9986c710>
use_cache: True
hidden_layers: 3
[       760] Acc: 0.3555 | Acc s/ns: 0.8271 | d_RMSE: 1.0686 | RMSE: 1.0686 | Loss: 28.3088 |   | B. acc: 0.3557 | B. s/ns: 0.8361 | B. RMSE: 1.0653
[       780] Acc: 0.3566 | Acc s/ns: 0.8199 | d_RMSE: 1.0661 | RMSE: 1.0661 | Loss: 31.9245 |   | B. acc: 0.3566 | B. s/ns: 0.8361 | B. RMSE: 1.0653
[       800] Acc: 0.3568 | Acc s/ns: 0.8200 | d_RMSE: 1.0681 | RMSE: 1.0681 | Loss: 29.2588 |   | B. acc: 0.3568 | B. s/ns: 0.8361 | B. RMSE: 1.0653
[       820] Acc: 0.3562 | Acc s/ns: 0.8241 | d_RMSE: 1.0665 | RMSE: 1.0665 | Loss: 16.6211 |   | B. acc: 0.3568 | B. s/ns: 0.8361 | B. RMSE: 1.0653
[       840] Acc: 0.3565 | Acc s/ns: 0.8226 | d_RMSE: 1.0654 | RMSE: 1.0654 | Loss: 22.6314 |   | B. acc: 0.3568 | B. s/ns: 0.8361 | B. RMSE: 1.0653
[       860] Acc: 0.3562 | Acc s/ns: 0.8249 | d_RMSE: 1.0644 | RMSE: 1.0644 | Loss: 30.5350 |   | B. acc: 0.3568 | B. s/ns: 0.8361 | B. RMSE: 1.0644 GOOD
[       880] Acc: 0.3553 | Acc s/ns: 0.8287 | d_RMSE: 1.0674 | RMSE: 1.0674 | Loss: 24.1592 |   | B. acc: 0.3568 | B. s/ns: 0.8361 | B. RMSE: 1.0644
[       900] Acc: 0.3561 | Acc s/ns: 0.8257 | d_RMSE: 1.0658 | RMSE: 1.0658 | Loss: 33.2301 |   | B. acc: 0.3568 | B. s/ns: 0.8361 | B. RMSE: 1.0644
[       920] Acc: 0.3571 | Acc s/ns: 0.8193 | d_RMSE: 1.0654 | RMSE: 1.0654 | Loss: 28.5880 |   | B. acc: 0.3571 | B. s/ns: 0.8361 | B. RMSE: 1.0644
[       940] Acc: 0.3562 | Acc s/ns: 0.8248 | d_RMSE: 1.0685 | RMSE: 1.0685 | Loss: 26.5561 |   | B. acc: 0.3571 | B. s/ns: 0.8361 | B. RMSE: 1.0644
[       960] Acc: 0.3549 | Acc s/ns: 0.8302 | d_RMSE: 1.0679 | RMSE: 1.0679 | Loss: 39.5216 |   | B. acc: 0.3571 | B. s/ns: 0.8361 | B. RMSE: 1.0644
[       980] Acc: 0.3549 | Acc s/ns: 0.8303 | d_RMSE: 1.0677 | RMSE: 1.0677 | Loss: 22.4288 |   | B. acc: 0.3571 | B. s/ns: 0.8361 | B. RMSE: 1.0644
[      1000] Acc: 0.3567 | Acc s/ns: 0.8232 | d_RMSE: 1.0651 | RMSE: 1.0651 | Loss: 25.1365 |   | B. acc: 0.3571 | B. s/ns: 0.8361 | B. RMSE: 1.0644
[      1020] Acc: 0.3575 | Acc s/ns: 0.8183 | d_RMSE: 1.0644 | RMSE: 1.0644 | Loss: 25.7911 |   | B. acc: 0.3575 | B. s/ns: 0.8361 | B. RMSE: 1.0644 GOOD
[      1040] Acc: 0.3568 | Acc s/ns: 0.8224 | d_RMSE: 1.0643 | RMSE: 1.0643 | Loss: 26.5344 |   | B. acc: 0.3575 | B. s/ns: 0.8361 | B. RMSE: 1.0643 GOOD
[      1060] Acc: 0.3565 | Acc s/ns: 0.8240 | d_RMSE: 1.0691 | RMSE: 1.0691 | Loss: 31.8185 |   | B. acc: 0.3575 | B. s/ns: 0.8361 | B. RMSE: 1.0643
[      1080] Acc: 0.3571 | Acc s/ns: 0.8213 | d_RMSE: 1.0646 | RMSE: 1.0646 | Loss: 25.2926 |   | B. acc: 0.3575 | B. s/ns: 0.8361 | B. RMSE: 1.0643
[      1100] Acc: 0.3549 | Acc s/ns: 0.8303 | d_RMSE: 1.0658 | RMSE: 1.0658 | Loss: 24.1709 |   | B. acc: 0.3575 | B. s/ns: 0.8361 | B. RMSE: 1.0643
[      1120] Acc: 0.3545 | Acc s/ns: 0.8313 | d_RMSE: 1.0667 | RMSE: 1.0667 | Loss: 25.6526 |   | B. acc: 0.3575 | B. s/ns: 0.8361 | B. RMSE: 1.0643
[      1140] Acc: 0.3565 | Acc s/ns: 0.8245 | d_RMSE: 1.0653 | RMSE: 1.0653 | Loss: 28.1563 |   | B. acc: 0.3575 | B. s/ns: 0.8361 | B. RMSE: 1.0643
[      1160] Acc: 0.3583 | Acc s/ns: 0.8145 | d_RMSE: 1.0650 | RMSE: 1.0650 | Loss: 27.9288 |   | B. acc: 0.3583 | B. s/ns: 0.8361 | B. RMSE: 1.0643
[      1180] Acc: 0.3570 | Acc s/ns: 0.8219 | d_RMSE: 1.0647 | RMSE: 1.0647 | Loss: 26.6058 |   | B. acc: 0.3583 | B. s/ns: 0.8361 | B. RMSE: 1.0643
